,Close
2020-04-27,3489.5648649069894
2020-04-28,3487.025506107886
2020-04-29,3487.2539412977144
2020-04-30,3483.089254066988
2020-05-01,3478.7904520472225
2020-05-04,3475.835284119061
2020-05-05,3477.679977614875
2020-05-06,3477.1270623770265
2020-05-07,3466.319636064584
2020-05-08,3456.099865155591
2020-05-11,3453.4492691204878
2020-05-12,3456.1214319049386
2020-05-13,3442.767637545495
2020-05-14,3440.6527165189195
2020-05-15,3438.405207090515
2020-05-18,3445.7306258357403
2020-05-19,3444.1892466313584
2020-05-20,3446.4879214092457
2020-05-21,3447.5779369638653
2020-05-22,3437.3088344190123
2020-05-25,3441.5336003563534
2020-05-26,3442.9943127378174
2020-05-27,3445.919385790373
2020-05-28,3465.9343041767374
2020-05-29,3455.897469333427
2020-06-01,3464.9046824364154
2020-06-02,3463.851174693596
2020-06-03,3465.671549069794
2020-06-04,3465.8277176974707
2020-06-05,3464.090265884663
2020-06-08,3461.6248310976516
2020-06-09,3463.6561046296993
2020-06-10,3456.453966000524
2020-06-11,3460.5905916923152
2020-06-12,3458.8933495220717
2020-06-15,3453.626732681052
2020-06-16,3451.760398245256
2020-06-17,3458.4298741837515
2020-06-18,3456.136928602853
2020-06-19,3458.312926548084
2020-06-22,3455.041875023689
2020-06-23,3459.21521412749
2020-06-24,3463.0264826756234
2020-06-25,3472.6532566962883
2020-06-26,3472.1591668229744
2020-06-29,3475.8861707009473
2020-06-30,3476.7602382528244
2020-07-01,3483.623327016322
2020-07-02,3480.412894932461
2020-07-03,3484.5216513510304
2020-07-06,3483.9318947246293
2020-07-07,3483.9946836932695
2020-07-08,3484.837175969694
2020-07-09,3486.4821078060104
2020-07-10,3486.284692444583
2020-07-13,3487.7419882146182
2020-07-14,3496.0163083566117
2020-07-15,3501.3272866388706
2020-07-16,3506.056789455538
2020-07-17,3504.162821679601
2020-07-20,3500.100347392642
2020-07-21,3505.2605800380134
2020-07-22,3510.0245438548454
2020-07-23,3517.7716270877827
2020-07-24,3515.135453812119
